,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Agent,0,18.127173,18.127173,18.119225,18.111215,18.10506,18.100858,18.098184,18.096552,18.095568,18.094951,18.094523,18.094181,18.09387,18.093567,18.093267,18.092976,18.092702,18.092454,18.092238,18.09206,18.091922,18.091826,18.091769,18.09175,18.091764,18.091806,18.091871,18.091955,18.09205,18.092154
Agent,1,18.0,18.09538,18.1019,18.096157,18.090823,18.08726,18.08507,18.083746,18.082908,18.082298,18.081752,18.081169,18.080495,18.079708,18.078809,18.07781,18.076735,18.075608,18.074459,18.073313,18.072198,18.071136,18.070145,18.069243,18.068442,18.067752,18.067178,18.066724,18.066391,18.066179
Agent,2,18.127173,18.127173,18.127173,18.125311,18.12229,18.118968,18.115823,18.113049,18.110694,18.108744,18.10716,18.1059,18.104922,18.10419,18.103669,18.103331,18.103148,18.103097,18.103157,18.103308,18.103536,18.103823,18.104158,18.104529,18.104924,18.105336,18.105757,18.106179,18.106597,18.107006
Agent,3,18.127173,18.127173,18.127049,18.126781,18.126385,18.125883,18.125286,18.124604,18.123848,18.123032,18.122169,18.121278,18.120375,18.119475,18.118595,18.117746,18.116937,18.116177,18.115471,18.114822,18.114231,18.113699,18.113223,18.1128,18.112428,18.112103,18.111818,18.111571,18.111356,18.111168
Agent,4,18.127173,18.127173,18.122206,18.118208,18.115518,18.113823,18.1128,18.112213,18.111908,18.111786,18.111782,18.111857,18.111983,18.112141,18.112318,18.112507,18.112698,18.112889,18.113074,18.113252,18.113419,18.113575,18.113718,18.113847,18.113962,18.114061,18.114146,18.114215,18.11427,18.114309
Agent,5,18.0,18.09538,18.089419,18.081967,18.080384,18.082177,18.085363,18.088939,18.092456,18.095722,18.098662,18.101255,18.103503,18.105423,18.107032,18.108352,18.109408,18.110222,18.110818,18.111216,18.111438,18.111503,18.111431,18.111239,18.110942,18.110555,18.110092,18.109566,18.108987,18.108366
Agent,6,18.127173,18.127173,18.101093,18.074809,18.055686,18.043853,18.037599,18.035149,18.035121,18.036553,18.038811,18.041489,18.044329,18.047168,18.049905,18.052477,18.054849,18.057004,18.058938,18.060656,18.062167,18.063488,18.064635,18.06563,18.06649,18.067237,18.067888,18.068462,18.068974,18.06944
Agent,7,18.0,18.015897,18.020492,18.022955,18.02538,18.028091,18.031027,18.034081,18.037165,18.040221,18.043214,18.046119,18.048922,18.051616,18.054194,18.056654,18.058995,18.061218,18.063322,18.065309,18.067182,18.068942,18.070592,18.072135,18.073575,18.074914,18.076157,18.077306,18.078365,18.079339
Agent,8,18.127173,18.127173,18.122206,18.117838,18.114497,18.111853,18.109639,18.107722,18.10605,18.104602,18.103391,18.102245,18.102822,18.088565,18.223953,16.873806,30.292796,-103.102042,1222.936836,-11958.815365,119077.029466,-1183510.962332,11765125.229558,-116953379.93839,1162598638.358618,-11557043851.137388,114885103671.72841,-1142038326636.6187,11352660162824.035,-112853386584376.55
Agent,9,18.127173,18.127173,18.127173,18.124845,18.12161,18.11833,18.115337,18.112714,18.110453,18.108517,18.106863,18.105449,18.104242,18.103211,18.10233,18.101578,18.100938,18.100394,18.099936,18.099551,18.099231,18.098969,18.098757,18.098591,18.098464,18.098372,18.098311,18.098278,18.098269,18.09828
Agent,10,18.127173,18.09538,18.076006,18.063624,18.055354,18.049858,18.046371,18.044366,18.043452,18.043331,18.043781,18.044634,18.045767,18.047087,18.048527,18.050037,18.05158,18.053129,18.054665,18.056173,18.057644,18.05907,18.060446,18.061769,18.063036,18.064246,18.065398,18.066494,18.067533,18.068517
Agent,11,18.127173,18.127173,18.127173,18.127173,18.12688,18.126151,18.125013,18.12357,18.121943,18.120236,18.118528,18.116872,18.115302,18.113835,18.112479,18.111234,18.110096,18.10906,18.108116,18.107256,18.106472,18.105756,18.1051,18.104495,18.103936,18.103417,18.102931,18.102474,18.102041,18.101628
Agent,12,18.127173,18.031793,18.030303,18.04179,18.052488,18.060777,18.066967,18.071531,18.074861,18.077256,18.078946,18.080106,18.080876,18.08136,18.081644,18.081791,18.08185,18.08186,18.081849,18.081837,18.081839,18.081865,18.081922,18.082013,18.082139,18.082301,18.082498,18.082726,18.082984,18.083268
Agent,13,18.127173,18.127173,18.127173,18.12588,18.123472,18.120332,18.11686,18.113374,18.110085,18.107106,18.104478,18.102202,18.100255,18.098606,18.097218,18.09606,18.0951,18.094312,18.093674,18.093166,18.092771,18.092474,18.092263,18.092127,18.092056,18.092042,18.092077,18.092155,18.09227,18.092417
Agent,14,18.127173,18.127173,18.127173,18.127173,18.127173,18.127123,18.126963,18.126653,18.126169,18.125502,18.124654,18.123635,18.122456,18.121138,18.119698,18.118157,18.116538,18.11486,18.113144,18.111407,18.109667,18.107939,18.106237,18.104573,18.102956,18.101395,18.099897,18.098467,18.09711,18.095829
Agent,15,18.0,18.0,18.0462,18.073736,18.089474,18.098771,18.104479,18.10812,18.11053,18.112178,18.113337,18.114168,18.114773,18.115214,18.115534,18.11576,18.115912,18.116004,18.116047,18.116048,18.116013,18.115947,18.115854,18.115737,18.115599,18.115443,18.11527,18.115082,18.114881,18.114669
