,,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Agent,0,21.0,20.7,20.397188,20.116735,19.854273,19.613907,19.398814,19.209601,19.045002,18.902776,18.780332,18.675093,18.584671,18.50694,18.440053,18.382421,18.332694,18.289722,18.252532,18.220302,18.19233,18.168024,18.146878,18.128462,18.112408,18.098401,18.086169,18.075481,18.066136,18.057961
Agent,1,18.0,20.25,19.962811,19.547998,19.22688,18.990016,18.812754,18.676824,18.570016,18.484227,18.414022,18.355689,18.306633,18.265,18.229421,18.198864,18.172525,18.149763,18.130058,18.112978,18.098161,18.085302,18.074136,18.06444,18.056018,18.048702,18.042347,18.036825,18.032028,18.02786
Agent,2,21.0,20.7,20.0175,19.566609,19.292312,19.108216,18.967121,18.848241,18.743361,18.649447,18.565344,18.490445,18.424209,18.366029,18.315228,18.271088,18.23289,18.199939,18.171583,18.147227,18.126334,18.108428,18.093091,18.079958,18.068712,18.059081,18.05083,18.043759,18.037696,18.032493
Agent,3,21.0,19.95,19.628437,19.415594,19.257214,19.129091,19.018736,18.919916,18.82965,18.746575,18.670068,18.599812,18.535575,18.47712,18.424173,18.376419,18.333513,18.295092,18.260787,18.230234,18.203082,18.178995,18.157662,18.138794,18.122124,18.107412,18.094439,18.083006,18.072939,18.064078
Agent,4,21.0,20.7,20.329886,19.969115,19.6477,19.373329,19.144135,18.954698,18.798791,18.670541,18.564852,18.477483,18.404975,18.344548,18.293973,18.251465,18.215597,18.185221,18.159408,18.137408,18.118606,18.102499,18.088671,18.076777,18.066532,18.057693,18.050059,18.043458,18.037745,18.032797
Agent,5,18.0,18.0,18.205609,18.33887,18.408809,18.437654,18.440544,18.427239,18.404178,18.375684,18.344673,18.313089,18.282201,18.2528,18.225349,18.200079,18.177067,18.156286,18.137644,18.12101,18.10623,18.093144,18.08159,18.071414,18.062467,18.054614,18.047729,18.0417,18.036425,18.031812
Agent,6,21.0,20.7,20.401875,20.089035,19.794424,19.532812,19.306736,19.113707,18.949704,18.810589,18.692593,18.592447,18.507366,18.434999,18.37337,18.320819,18.275952,18.237597,18.204769,18.176638,18.152504,18.131777,18.113957,18.09862,18.085408,18.074016,18.064184,18.055692,18.048351,18.042001
Agent,7,18.0,18.375,18.505078,18.551265,18.557152,18.54222,18.516087,18.483982,18.449016,18.413153,18.377665,18.343375,18.310802,18.280253,18.251885,18.225751,18.201832,18.180059,18.16033,18.142523,18.126505,18.112138,18.099286,18.087814,18.077595,18.068508,18.060439,18.053286,18.04695,18.041346
Agent,8,21.0,20.7,20.397188,20.109107,19.846114,19.611504,19.404801,19.223872,19.066019,18.928501,18.808761,18.704505,18.613716,18.534635,18.465739,18.405707,18.353394,18.307805,18.268077,18.233458,18.203295,18.177016,18.154124,18.134184,18.116819,18.101698,18.088531,18.077068,18.067089,18.058402
Agent,9,21.0,20.7,20.078438,19.648853,19.35804,19.146709,18.98168,18.84591,18.730687,18.63139,18.545335,18.470721,18.406145,18.350391,18.302362,18.261057,18.22557,18.195093,18.168913,18.146409,18.127047,18.110368,18.095981,18.083553,18.072802,18.063489,18.055411,18.048394,18.042292,18.03698
Agent,10,21.0,20.6625,20.305005,19.974758,19.684864,19.435753,19.223596,19.043531,18.890844,18.76134,18.651411,18.557998,18.478525,18.410827,18.353085,18.303772,18.261606,18.225506,18.194564,18.168012,18.145202,18.125587,18.108702,18.094153,18.081606,18.070776,18.061419,18.05333,18.046331,18.040272
Agent,11,21.0,20.4375,20.162578,19.88197,19.61717,19.381639,19.177935,19.003942,18.85609,18.730667,18.624286,18.533998,18.457295,18.392056,18.3365,18.289129,18.248686,18.214115,18.184526,18.159172,18.137421,18.118741,18.102681,18.088859,18.076953,18.066688,18.057828,18.050176,18.043562,18.03784
Agent,12,21.0,20.7,20.29875,19.99812,19.750735,19.538386,19.353703,19.192192,19.050461,18.925785,18.815922,18.719002,18.633445,18.5579,18.491195,18.432308,18.380342,18.334503,18.294088,18.258474,18.227106,18.199491,18.175192,18.153819,18.135028,18.118513,18.104002,18.091257,18.080065,18.070239
Agent,13,21.0,20.7,20.401875,20.08659,19.787404,19.518385,19.283532,19.082146,18.911387,18.767605,18.647027,18.546112,18.461701,18.391059,18.331869,18.282189,18.240405,18.205186,18.175431,18.150235,18.128851,18.110665,18.095166,18.081932,18.070613,18.060916,18.052596,18.045449,18.039301,18.034007
