USERID,"ID: Newspaper reading, total time on average weekday","Newspaper reading, total time on average weekday",ID: Personal use of internet/e-mail/www,Personal use of internet/e-mail/www,"ID: How often socially meet with friends, relatives or colleagues","How often socially meet with friends, relatives or colleagues",ID: Gender,Gender,"Age of respondent, calculated",ID: Highest level of education,Highest level of education,ID: Employment relation,Employment relation,ID: Occupation,Occupation,ID: Important to try new and different things in life,Important to try new and different things in life,ID: Important to do what is told and follow rules,Important to do what is told and follow rules,ID: Important to understand different people,Important to understand different people,ID:Important to make own decisions and be free,Important to make own decisions and be free,ID: Important to be successful and that people recognize achievements,Important to be successful and that people recognize achievements,ID: Important to seek adventures and have an exciting life,Important to seek adventures and have an exciting life,ID: Important to behave properly,Important to behave properly,ID: Important to get respect from others,Important to get respect from others,ID: Important to care for nature and environment,Important to care for nature and environment,ID: Important to follow traditions and customs,Important to follow traditions and customs,ID: Hard to be hopeful about the future of the world,Hard to be hopeful about the future of the world,ID: Feel close to the people in local area,Feel close to the people in local area
1-1,3,"More than 1 hour, up to 1,5 hours",1,Never use,2,Less than once a month,1,Male,71,3,Upper secondary education completed (ISCED 3),1,Employee,2143,Electrical engineers,2,Like me,2,Like me,2,Like me,1,Very much like me,2,Like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Like me,2,Like me,,,,
1-2,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,2,Female,29,5,Tertiary education completed (ISCED 5-6),1,Employee,2411,Accountants,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,5,Not like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
1-3,4,"More than 1,5 hours, up to 2 hours",0,No access at home or work,4,Several times a month,2,Female,82,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,3,Somewhat like me,2,Like me,1,Very much like me,2,Like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-4,3,"More than 1 hour, up to 1,5 hours",0,No access at home or work,2,Less than once a month,2,Female,57,2,Lower secondary education completed (ISCED 2),1,Employee,9151,"Messengers,package,luggage porter, deliverer",5,Not like me,2,Like me,2,Like me,4,A little like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-5,3,"More than 1 hour, up to 1,5 hours",1,Never use,5,Once a week,2,Female,65,3,Upper secondary education completed (ISCED 3),1,Employee,3415,Technical and commercial sales rep,1,Very much like me,2,Like me,2,Like me,2,Like me,1,Very much like me,5,Not like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,,,,
1-6,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,1,Male,40,3,Upper secondary education completed (ISCED 3),1,Employee,5220,"Shop,stall,market salespers, demonstrators",2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,3,Somewhat like me,2,Like me,1,Very much like me,2,Like me,,,,
1-7,2,"0,5 hour to 1 hour",1,Never use,6,Several times a week,2,Female,65,3,Upper secondary education completed (ISCED 3),1,Employee,7433,"Tailors, dressmakers and hatters",1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,,,,
1-8,2,"0,5 hour to 1 hour",6,Several times a week,1,Never,1,Male,42,5,Tertiary education completed (ISCED 5-6),1,Employee,100,Armed forces,2,Like me,2,Like me,2,Like me,2,Like me,4,A little like me,3,Somewhat like me,5,Not like me,1,Very much like me,1,Very much like me,3,Somewhat like me,,,,
1-9,1,"Less than 0,5 hour",1,Never use,2,Less than once a month,2,Female,37,5,Tertiary education completed (ISCED 5-6),1,Employee,2359,Other teaching prof not elsewhere class,5,Not like me,5,Not like me,1,Very much like me,4,A little like me,5,Not like me,6,Not like me at all,3,Somewhat like me,3,Somewhat like me,1,Very much like me,2,Like me,,,,
1-10,1,"Less than 0,5 hour",1,Never use,5,Once a week,2,Female,33,3,Upper secondary education completed (ISCED 3),1,Employee,9151,"Messengers,package,luggage porter, deliverer",1,Very much like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,6,Not like me at all,,,,
1-11,3,"More than 1 hour, up to 1,5 hours",1,Never use,2,Less than once a month,2,Female,63,5,Tertiary education completed (ISCED 5-6),1,Employee,2113,Chemists,2,Like me,1,Very much like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
1-12,4,"More than 1,5 hours, up to 2 hours",1,Never use,7,Every day,2,Female,73,3,Upper secondary education completed (ISCED 3),1,Employee,2411,Accountants,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,3,Somewhat like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-13,2,"0,5 hour to 1 hour",1,Never use,6,Several times a week,2,Female,81,3,Upper secondary education completed (ISCED 3),1,Employee,4212,Tellers and other counter clerks,1,Very much like me,3,Somewhat like me,2,Like me,,,2,Like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-14,1,"Less than 0,5 hour",0,No access at home or work,2,Less than once a month,1,Male,70,3,Upper secondary education completed (ISCED 3),1,Employee,9141,Building caretakers,,,,,,,,,,,,,,,,,,,,,,,,
1-15,2,"0,5 hour to 1 hour",0,No access at home or work,7,Every day,1,Male,63,3,Upper secondary education completed (ISCED 3),1,Employee,5220,"Shop,stall,market salespers, demonstrators",1,Very much like me,2,Like me,2,Like me,1,Very much like me,2,Like me,4,A little like me,4,A little like me,4,A little like me,2,Like me,4,A little like me,,,,
1-16,3,"More than 1 hour, up to 1,5 hours",6,Several times a week,6,Several times a week,2,Female,18,2,Lower secondary education completed (ISCED 2),1,Employee,5123,"Waiters, waitresses and bartenders",2,Like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,4,A little like me,,,,
1-17,1,"Less than 0,5 hour",1,Never use,6,Several times a week,1,Male,54,3,Upper secondary education completed (ISCED 3),1,Employee,8332,Earth-moving  and related plant operators,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,,,,
1-18,1,"Less than 0,5 hour",6,Several times a week,3,Once a month,2,Female,17,2,Lower secondary education completed (ISCED 2),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",2,Like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,2,Like me,4,A little like me,4,A little like me,4,A little like me,,,,
1-19,4,"More than 1,5 hours, up to 2 hours",6,Several times a week,7,Every day,2,Female,32,3,Upper secondary education completed (ISCED 3),1,Employee,4222,Receptionists and information clerks,3,Somewhat like me,6,Not like me at all,5,Not like me,4,A little like me,4,A little like me,5,Not like me,5,Not like me,5,Not like me,4,A little like me,4,A little like me,,,,
1-20,1,"Less than 0,5 hour",2,Less than once a month,4,Several times a month,1,Male,15,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,4,A little like me,5,Not like me,2,Like me,4,A little like me,2,Like me,2,Like me,5,Not like me,4,A little like me,4,A little like me,,,,
1-21,0,No time at all,0,No access at home or work,7,Every day,1,Male,26,2,Lower secondary education completed (ISCED 2),1,Employee,7222,Tool-makers and related workers,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,,,,
1-22,1,"Less than 0,5 hour",1,Never use,6,Several times a week,2,Female,35,3,Upper secondary education completed (ISCED 3),1,Employee,7231,Motor vehicle mechanics and fitters,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,,,,
1-23,2,"0,5 hour to 1 hour",7,Every day,4,Several times a month,2,Female,54,3,Upper secondary education completed (ISCED 3),1,Employee,2411,Accountants,3,Somewhat like me,1,Very much like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,2,Like me,4,A little like me,,,,
1-24,1,"Less than 0,5 hour",0,No access at home or work,7,Every day,1,Male,28,3,Upper secondary education completed (ISCED 3),3,Working for own family business,5220,"Shop,stall,market salespers, demonstrators",4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Not like me,6,Not like me at all,1,Very much like me,6,Not like me at all,1,Very much like me,5,Not like me,,,,
1-25,1,"Less than 0,5 hour",1,Never use,5,Once a week,1,Male,37,3,Upper secondary education completed (ISCED 3),3,Working for own family business,7139,"Build finisher,rel trde work not else class",4,A little like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,,,,
1-26,2,"0,5 hour to 1 hour",6,Several times a week,6,Several times a week,2,Female,26,5,Tertiary education completed (ISCED 5-6),1,Employee,5111,Travel attendants and travel stewards,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
1-27,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,20,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,5,Not like me,,,,
1-28,1,"Less than 0,5 hour",1,Never use,5,Once a week,2,Female,72,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,5,Not like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,5,Not like me,5,Not like me,2,Like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,,,,
1-29,1,"Less than 0,5 hour",1,Never use,4,Several times a month,2,Female,67,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,6,Not like me at all,6,Not like me at all,6,Not like me at all,3,Somewhat like me,6,Not like me at all,6,Not like me at all,6,Not like me at all,6,Not like me at all,6,Not like me at all,3,Somewhat like me,,,,
1-30,1,"Less than 0,5 hour",1,Never use,4,Several times a month,2,Female,75,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,6,Not like me at all,3,Somewhat like me,3,Somewhat like me,6,Not like me at all,6,Not like me at all,6,Not like me at all,3,Somewhat like me,6,Not like me at all,3,Somewhat like me,3,Somewhat like me,,,,
1-31,5,"More than 2 hours, up to 2,5 hours",1,Never use,4,Several times a month,2,Female,75,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,,,,
1-32,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,1,Male,75,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,5,Not like me,2,Like me,3,Somewhat like me,5,Not like me,5,Not like me,6,Not like me at all,3,Somewhat like me,3,Somewhat like me,4,A little like me,2,Like me,,,,
1-33,2,"0,5 hour to 1 hour",7,Every day,6,Several times a week,1,Male,56,5,Tertiary education completed (ISCED 5-6),1,Employee,7233,Agric- or industrmachine mechanic and fitter,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,4,A little like me,6,Not like me at all,1,Very much like me,4,A little like me,6,Not like me at all,4,A little like me,,,,
1-34,0,No time at all,1,Never use,5,Once a week,2,Female,63,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,5,Not like me,2,Like me,3,Somewhat like me,5,Not like me,5,Not like me,5,Not like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,2,Like me,,,,
1-35,0,No time at all,1,Never use,7,Every day,1,Male,53,1,Less than lower secondary education (ISCED 0-1),1,Employee,3116,Chemical engineering technicians,5,Not like me,6,Not like me at all,6,Not like me at all,1,Very much like me,6,Not like me at all,1,Very much like me,4,A little like me,3,Somewhat like me,5,Not like me,5,Not like me,,,,
1-36,1,"Less than 0,5 hour",1,Never use,3,Once a month,2,Female,43,3,Upper secondary education completed (ISCED 3),1,Employee,7433,"Tailors, dressmakers and hatters",4,A little like me,2,Like me,3,Somewhat like me,4,A little like me,4,A little like me,4,A little like me,4,A little like me,4,A little like me,4,A little like me,3,Somewhat like me,,,,
1-37,1,"Less than 0,5 hour",1,Never use,5,Once a week,2,Female,50,3,Upper secondary education completed (ISCED 3),1,Employee,2230,Nursing and midwifery professionals,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,3,Somewhat like me,3,Somewhat like me,2,Like me,1,Very much like me,4,A little like me,3,Somewhat like me,,,,
1-38,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,2,Female,20,3,Upper secondary education completed (ISCED 3),6,Not applicable,66666,Not applicable,3,Somewhat like me,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,5,Not like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,4,A little like me,,,,
1-39,2,"0,5 hour to 1 hour",0,No access at home or work,5,Once a week,2,Female,58,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,4,A little like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
1-40,2,"0,5 hour to 1 hour",1,Never use,2,Less than once a month,2,Female,43,3,Upper secondary education completed (ISCED 3),2,Self-employed,5220,"Shop,stall,market salespers, demonstrators",2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
1-41,1,"Less than 0,5 hour",3,Once a month,5,Once a week,1,Male,39,3,Upper secondary education completed (ISCED 3),1,Employee,5220,"Shop,stall,market salespers, demonstrators",1,Very much like me,2,Like me,1,Very much like me,2,Like me,2,Like me,5,Not like me,1,Very much like me,3,Somewhat like me,1,Very much like me,2,Like me,,,,
1-42,7,More than 3 hours,1,Never use,6,Several times a week,1,Male,56,3,Upper secondary education completed (ISCED 3),1,Employee,2146,Chemical engineers,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-43,1,"Less than 0,5 hour",1,Never use,7,Every day,1,Male,59,3,Upper secondary education completed (ISCED 3),1,Employee,7141,Painters and related workers,2,Like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
1-44,3,"More than 1 hour, up to 1,5 hours",0,No access at home or work,7,Every day,1,Male,38,2,Lower secondary education completed (ISCED 2),1,Employee,9320,Manufacturing labourers,6,Not like me at all,2,Like me,4,A little like me,2,Like me,4,A little like me,5,Not like me,6,Not like me at all,4,A little like me,3,Somewhat like me,5,Not like me,,,,
1-45,3,"More than 1 hour, up to 1,5 hours",1,Never use,3,Once a month,2,Female,40,3,Upper secondary education completed (ISCED 3),1,Employee,7412,"Bakers,pastry-cooks,confectionery maker",2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,,,,
1-46,1,"Less than 0,5 hour",1,Never use,3,Once a month,1,Male,77,2,Lower secondary education completed (ISCED 2),1,Employee,8240,Wood-products machine operators,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-47,2,"0,5 hour to 1 hour",6,Several times a week,7,Every day,1,Male,22,3,Upper secondary education completed (ISCED 3),1,Employee,8240,Wood-products machine operators,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,,,,
1-48,1,"Less than 0,5 hour",1,Never use,6,Several times a week,2,Female,44,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,1,Very much like me,4,A little like me,2,Like me,3,Somewhat like me,2,Like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,,,,
1-49,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,1,Male,46,1,Less than lower secondary education (ISCED 0-1),6,Not applicable,66666,Not applicable,3,Somewhat like me,4,A little like me,4,A little like me,2,Like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,,,,
1-50,0,No time at all,6,Several times a week,7,Every day,1,Male,21,3,Upper secondary education completed (ISCED 3),1,Employee,7212,Welders and flamecutters,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,,,,
